Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Order,Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:13,06-03-2026 18:46:22,6m - 9.605s,FAILED
,,,,,,,
Test Cases/Product Order/TC_PO_01,Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:13,06-03-2026 18:41:37,1m - 24.259s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:14,06-03-2026 18:40:47,33.084s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:47,06-03-2026 18:40:48,0.999s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:48,06-03-2026 18:40:53,5.034s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:53,06-03-2026 18:40:54,0.583s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:54,06-03-2026 18:40:55,1.014s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:55,06-03-2026 18:40:56,1.587s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), user_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:40:56,06-03-2026 18:41:07,10.689s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), zone_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:07,06-03-2026 18:41:18,10.722s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:18,06-03-2026 18:41:21,3.021s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:21,06-03-2026 18:41:21,0.305s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:21,06-03-2026 18:41:22,1.402s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:22,06-03-2026 18:41:23,0.721s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:23,06-03-2026 18:41:26,3.010s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:26,06-03-2026 18:41:27,0.638s,PASSED
delay(2),Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:27,06-03-2026 18:41:29,2.018s,PASSED
"click(findTestObject(""Product Order/svg_Buy_lucide lucide-chevron-down h-4 w-4 shrink-0 transition-transform duration-200""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:29,06-03-2026 18:41:30,1.118s,PASSED
"click(findTestObject(""Product Order/p_QRIS""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:30,06-03-2026 18:41:31,0.712s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:31,06-03-2026 18:41:34,3.022s,PASSED
"buyButton = findTestObject(""Object Repository/Product Order/button_Buy"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:34,06-03-2026 18:41:34,0.007s,PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(buyButton)))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:34,06-03-2026 18:41:34,0.325s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:34,06-03-2026 18:41:37,3.011s,PASSED
"verifyElementVisible(findTestObject(""Product Order/span_nomor pesanan""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:37,06-03-2026 18:41:37,0.314s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_02,Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:37,06-03-2026 18:42:37,59.561s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:41:37,06-03-2026 18:42:07,29.731s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:07,06-03-2026 18:42:08,0.989s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:08,06-03-2026 18:42:13,5.050s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:13,06-03-2026 18:42:14,0.598s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:14,06-03-2026 18:42:15,1.023s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:15,06-03-2026 18:42:18,3.630s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), zone_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:18,06-03-2026 18:42:29,10.576s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:29,06-03-2026 18:42:32,3.025s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:32,06-03-2026 18:42:32,0.287s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:32,06-03-2026 18:42:34,1.609s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:34,06-03-2026 18:42:35,0.701s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:35,06-03-2026 18:42:36,1.018s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:36,06-03-2026 18:42:36,0.544s,PASSED
"verifyTextPresent(""Input ini wajib diisi"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:42:36,06-03-2026 18:42:37,0.579s,PASSED
,,,,,,,
